Date,Close,High,Low,Open,Volume
5/10/2019,41.56999969,45,41.06000137,42,186322500
5/13/2019,37.09999847,39.24000168,36.08000183,38.79000092,79442400
5/14/2019,39.95999908,39.95999908,36.84999847,38.31000137,46661100
5/15/2019,41.29000092,41.88000107,38.95000076,39.36999893,36086100
5/16/2019,43,44.06000137,41.25,41.47999954,38115500
5/17/2019,41.90999985,43.29000092,41.27000046,41.97999954,20225700
5/20/2019,41.59000015,41.68000031,39.45999908,41.18999863,29222300
5/21/2019,41.5,42.24000168,41.25,42,10802900
5/22/2019,41.25,41.27999878,40.5,41.04999924,9089500
5/23/2019,40.47000122,41.09000015,40.02000046,40.79999924,11119900
5/24/2019,41.50999832,41.50999832,40.5,41.27999878,8786800
5/28/2019,40.95000076,41.79999924,40.59999847,41.70000076,13391600
5/29/2019,39.93999863,40.70999908,39.14699936,40.52000046,14060400
5/30/2019,39.79999924,40.38000107,39.5,40.06999969,26451900
5/31/2019,40.40999985,41.56999969,39.40999985,41.15000153,23209800
6/3/2019,41.25,41.84999847,40.24000168,40.74399948,16605300
6/4/2019,42.75,42.88000107,40.70000076,42.56000137,23432100
6/5/2019,45,45.65999985,42.5,42.86999893,28609600
6/6/2019,44.91999817,45.75,44.27999878,45,16403700
6/7/2019,44.15999985,45.66999817,44.13000107,44.91999817,12654700
6/10/2019,42.61000061,44.59000015,42.52999878,44.02000046,11618700
6/11/2019,42.45000076,43.65000153,41.79999924,43.22000122,9095000
6/12/2019,42.16999817,42.65000153,41.70999908,42.52000046,5965300
6/13/2019,44.31000137,44.34999847,42.79999924,43.04999924,10178900
6/14/2019,43.22999954,44.79999924,43.11000061,44.75,7902200
6/17/2019,43.77999878,44.07899857,42.93000031,43.27999878,6557600
6/18/2019,43.86000061,44.88999939,43.75,44.29999924,7313600
6/19/2019,44.86000061,45.5,43.95000076,44.45999908,10331500
6/20/2019,43.86000061,45.29000092,43.50999832,45.02999878,9567400
6/21/2019,44,44.13999939,43.38000107,43.84999847,4974000
6/24/2019,43.09000015,44.06999969,42.81999969,44,5985100
6/25/2019,43.09000015,43.79000092,42.44300079,43.27999878,5753300
6/26/2019,42.5,43.40000153,42.36000061,43.25,8109100
6/27/2019,45.13000107,45.29999924,43.20000076,43.34999847,20155100
6/28/2019,46.38000107,47.08000183,45.08000183,45.09999847,28657000
7/1/2019,44.27000046,47.04000092,44.06000137,46.97999954,17660500
7/2/2019,44,44.68000031,43.75,44.54999924,11881300
7/3/2019,44.22999954,44.45999908,43.79000092,44,3380000
7/5/2019,43.52999878,44.54999924,43.00999832,44.31000137,8239500
7/8/2019,42.95000076,43.84999847,42.75,43.59000015,9304100
7/9/2019,44.20000076,44.22999954,42.97999954,43.18000031,5251600
7/10/2019,43.70000076,44.79999924,43.56000137,44.47999954,9746500
7/11/2019,43.99000168,44.29000092,43.31000137,44.09999847,8050900
7/12/2019,43.99000168,44.24000168,43.38999939,44.15999985,8760500
7/15/2019,44.52999878,44.70000076,43.97000122,44.20000076,5811200
7/16/2019,44.13000107,44.97999954,44.02000046,44.59999847,5613300
7/17/2019,43.61999893,44.34999847,43.52000046,44.06000137,5854100
7/18/2019,43.70999908,43.84999847,43.18999863,43.5,4078700
7/19/2019,43.18000031,44.08599854,43.15999985,43.90000153,4021000
7/22/2019,43.68999863,43.72000122,43.00999832,43.25,3815300
7/23/2019,43.36000061,44.31000137,43.11000061,43.75,5110100
7/24/2019,43.75999832,43.86999893,43.36000061,43.36000061,3775700
7/25/2019,43.40000153,43.95999908,43.20999908,43.72000122,4412000
7/26/2019,44.52000046,44.95999908,43.38999939,43.41999817,7598800
7/29/2019,43.88000107,45.6269989,43.11999893,45,8652200
7/30/2019,42.59000015,43.74000168,42.49000168,43.70999908,7686300
7/31/2019,42.13999939,42.97999954,41.84000015,42.59999847,5970800
8/1/2019,41.31000137,42.5359993,41,42.13999939,7349700
8/2/2019,40.40000153,41.06000137,39.95000076,41.02999878,8225700
8/5/2019,39.04999924,39.41999817,38.43299866,39.34999847,9799300
8/6/2019,39.15000153,40.80799866,38.36000061,39.68000031,8570300
8/7/2019,39.70000076,39.99000168,38.31999969,39.06000137,8896000
8/8/2019,42.97000122,43,41.25,41.97999954,29610500
8/9/2019,40.04999924,40.68000031,38.70999908,39.56000137,35138800
8/12/2019,37,39.95000076,37,39.83000183,21231300
8/13/2019,36.45000076,37.45999908,36.11999893,37,18990600
8/14/2019,33.95999908,36.29999924,33.36000061,36,24481600
8/15/2019,33.22000122,34.54999924,32.91999817,34.52000046,13265800
8/16/2019,35.22999954,35.47999954,33.40000153,33.45999908,13883200
8/19/2019,34.61000061,35.79999924,34.36999893,35.52999878,10853100
8/20/2019,35.29000092,36.06999969,34.38999939,34.47999954,10760700
8/21/2019,34.90999985,35.83000183,34.75,35.5,7923000
8/22/2019,34,34.90999985,33.52000046,34.79999924,8513300
8/23/2019,33.43000031,34.22999954,33.11999893,33.65000153,8160600
8/26/2019,33.31000137,33.83000183,33.06000137,33.66999817,5662500
8/27/2019,33.11000061,34.24000168,32.97999954,33.68999863,6574800
8/28/2019,32.59000015,33.04999924,32.25999832,32.56000137,6245500
8/29/2019,32.75999832,33.29999924,32.59999847,32.90000153,5772200
8/30/2019,32.56999969,33.13000107,32.04000092,33,6628700
9/3/2019,30.70000076,32.52999878,30.66500092,32.09999847,12154000
9/4/2019,31.98999977,32.36000061,30.85000038,30.90999985,10357600
9/5/2019,32.50999832,33.02999878,32.25,32.33000183,7933300
9/6/2019,31.86000061,32.74000168,31.40999985,32.70999908,7036000
9/9/2019,32.24000168,32.38999939,31.45999908,32.04999924,7448400
9/10/2019,33.50999832,33.74000168,31.64999962,32,10817100
9/11/2019,34,35.13999939,33.02000046,33.38000107,14715800
9/12/2019,34.06999969,34.48600006,33.33000183,34.13999939,7734800
9/13/2019,33.25,34.43500137,32.93999863,34.25,9428600
9/16/2019,34.43000031,34.79999924,33.47000122,33.59999847,7942600
9/17/2019,34.29000092,34.75,33.54999924,34.75,5561300
9/18/2019,34.25999832,34.88999939,33.75,34.34999847,6608300
9/19/2019,33.81999969,34.63999939,33.68000031,34.20000076,6869600
9/20/2019,32.59999847,34.21699905,32.5,33.97999954,11935400
9/23/2019,33,33.00999832,32.06000137,32.52000046,5513000
9/24/2019,31.29999924,33.14500046,31.01000023,33,10579900
9/25/2019,31.68000031,31.71999931,30.76000023,31.27000046,7875000
9/26/2019,31.56999969,32.13000107,31.12999916,31.71999931,6058700
9/27/2019,30.29000092,31.89999962,30.12999916,31.70999908,11846700
9/30/2019,30.46999931,30.73500061,30.17000008,30.39999962,4986600
10/1/2019,29.14999962,30.51000023,28.64999962,30.37000084,13380200
10/2/2019,29,29.54999924,28.30999947,28.67000008,8782400
10/3/2019,29.71999931,29.87999916,28.52000046,28.96999931,9412000
10/4/2019,29.67000008,30.18000031,28.89999962,29.89999962,8597700
10/7/2019,30.37000084,30.75,29.82999992,30.60000038,10083800
10/8/2019,29.28000069,30.14999962,29.17000008,30.01000023,7769100
10/9/2019,29.06999969,29.62000084,28.80999947,29.62000084,7112900
10/10/2019,28.87000084,29.28000069,28.57999992,29.20999908,7716300
10/11/2019,30.12999916,30.39999962,28.94000053,28.95000076,10216900
10/14/2019,31.12000084,31.54000092,29.81900024,30.21999931,7945400
10/15/2019,32,32.16999817,31.19499969,31.20000076,7843800
10/16/2019,31.87000084,32.38000107,31.43799973,31.79999924,7781600
10/17/2019,32.61999893,32.93000031,31.45000076,31.79999924,7200800
10/18/2019,32.06000137,32.65999985,31.27000046,32.54999924,7844500
10/21/2019,31.40999985,32.28300095,31.18499947,31.95000076,7203400
10/22/2019,32.52999878,33.88999939,30.21999931,31.40999985,19214800
10/23/2019,33.04999924,33.27000046,32.16999817,32.86999893,6709800
10/24/2019,33.27999878,33.41999817,32.50999832,33,6729300
10/25/2019,32.70999908,33.47999954,32.61000061,33.20000076,8077300
10/28/2019,33.22000122,33.35499954,32.5,32.90000153,7532800
10/29/2019,32.41999817,32.91999817,31.81500053,32.36999893,9319200
10/30/2019,33.75,33.79999924,32.11000061,32.50999832,10732700
10/31/2019,31.5,33.36000061,31.26000023,33.22999954,15912400
11/1/2019,31.37000084,31.70000076,30.74099922,31.45000076,10434300
11/4/2019,31.07999992,31.75,30.12000084,31.45000076,28787400
11/5/2019,28.02000046,29.29999924,27.96999931,29.12999916,51963500
11/6/2019,26.94000053,27.54999924,25.57999992,26.05999947,130965700
11/7/2019,27.37999916,27.42000008,26.45000076,26.79999924,65861400
11/8/2019,27.01000023,27.62000084,26.91500092,27.47999954,44923600
11/11/2019,27.13999939,27.20999908,26.22999954,27.03000069,41138100
11/12/2019,26.70000076,27.65999985,26.65999985,27.37999916,37095400
11/13/2019,26.70999908,26.81999969,26.13999939,26.46999931,32678300
11/14/2019,25.98999977,26.86000061,25.66500092,26.79999924,27893900
11/15/2019,26.79000092,26.79999924,25.95499992,26.18000031,41236200
11/18/2019,26.75,27,26.29999924,26.79999924,35916100
11/19/2019,27.04999924,27.21999931,26.61000061,26.77000046,31793500
11/20/2019,28.03000069,28.39999962,26.94499969,27.05999947,52746600
11/21/2019,29.45999908,29.60000038,28.5,28.67000008,54551400
11/22/2019,29.55999947,30.12999916,29.20999908,29.84000015,42302900
11/25/2019,29.11000061,29.60000038,28.37999916,28.69000053,36967500
11/26/2019,29.53000069,30.14999962,29.36000061,29.48999977,28746600
11/27/2019,29.48999977,29.59000015,28.87999916,29.42000008,22421400
11/29/2019,29.60000038,29.85000038,29.25,29.40999985,8115100
12/2/2019,28.97999954,29.52499962,28.70000076,29.31999969,16927100
12/3/2019,29.02000046,29.32999992,28.14999962,28.20000076,25252400
12/4/2019,29.05999947,29.20000076,28.70000076,29.10000038,22517600
12/5/2019,28.64999962,28.98999977,28.18000031,28.94000053,22504300
12/6/2019,27.86000061,28.92499924,27.79999924,28.39999962,32816100
12/9/2019,27.68000031,28.36000061,27.68000031,27.95999908,20977300
12/10/2019,27.88999939,27.99300003,27.60499954,27.72999954,23602700
12/11/2019,28.42000008,28.54500008,27.85000038,27.98999977,23281700
12/12/2019,28.69000053,28.75,28.19000053,28.29000092,23569900
12/13/2019,28.48999977,28.84000015,28.27000046,28.57999992,25431600
12/16/2019,30.04999924,30.12999916,29.10000038,29.11000061,57382500
12/17/2019,29.75,30.42000008,29.53000069,30.37000084,38250700
12/18/2019,30.12999916,30.13999939,29.34000015,29.62000084,35375100
12/19/2019,29.98999977,30.17000008,29.53000069,29.84000015,33799700
12/20/2019,30.45000076,31.03000069,29.85000038,30.10000038,95455100
12/23/2019,30.32999992,30.94000053,29.82999992,30.48999977,31209100
12/24/2019,30.44000053,30.84000015,30.11000061,30.32999992,12938600
12/26/2019,30.67000008,30.79000092,30.03000069,30.46999931,22200800
12/27/2019,30.17000008,31.05999947,30.17000008,30.79999924,18462200
12/30/2019,29.73999977,30.20000076,29.35000038,30.12999916,18805900
12/31/2019,29.73999977,29.95000076,28.89999962,29.11000061,16228400
1/2/2020,30.98999977,31,29.79000092,29.94000053,20578900
1/3/2020,31.37000084,31.43000031,30.47999954,30.62000084,18822700
1/6/2020,31.57999992,32.06000137,31,31.01000023,21204700
1/7/2020,32.81000137,32.84000015,31.36000061,31.79000092,30119600
1/8/2020,33.93000031,34.52000046,32.45999908,32.72999954,43944400
1/9/2020,33.97000122,34.47000122,33.22000122,34.45000076,29385500
1/10/2020,34.00999832,34.99000168,33.83499908,34.08000183,34266400
1/13/2020,34.13999939,34.34000015,33.54999924,34.29000092,16915800
1/14/2020,34.84000015,35.02000046,33.91999817,34.20000076,26019000
1/15/2020,35.00999832,35.14899826,34.50999832,34.90000153,20762200
1/16/2020,34.68000031,35.06000137,34.18000031,35.02999878,21947800
1/17/2020,35.13000107,35.25,34.65000153,34.97000122,17251200
1/21/2020,37.59999847,37.79999924,35.40999985,35.5,48746700
1/22/2020,37.04000092,37.93999863,36.91999817,37.93999863,29765200
1/23/2020,37.40000153,37.95000076,36.72499847,36.97000122,21366000
1/24/2020,36.79999924,37.66500092,36.25,37.5,21598000
1/27/2020,36.29999924,36.65000153,34.18999863,35.22999954,18818000
1/28/2020,37.00999832,37.33000183,36.04000092,37.13999939,28974000
1/29/2020,36.99000168,37.56499863,36.79999924,36.97999954,16863000
1/30/2020,36.68000031,37.13199997,35.95000076,36.81999969,22847000
1/31/2020,36.29000092,37.04000092,35.68999863,37,21553700
2/3/2020,37.59000015,37.63999939,36.52999878,36.75,23494600
2/4/2020,38.52999878,38.99000168,37.25999832,37.86999893,32425900
2/5/2020,36.81000137,38.97000122,36.73500061,38.88999939,38413300
2/6/2020,37.09000015,37.38999939,36.72999954,37.29999924,52699300
2/7/2020,40.63000107,41,38.86000061,39.97999954,112325800
2/10/2020,40.00999832,41.34000015,39.95999908,40.65000153,60840800
2/11/2020,41.27000046,41.46500015,40.04999924,40.25,33896000
2/12/2020,41.25,41.86000061,41.06499863,41.5,26444900
2/13/2020,40.09000015,41.54999924,40,40.93000031,23850900
2/14/2020,39.65999985,40.31000137,38.70000076,40.02000046,32014200
2/18/2020,40.18000031,40.27000046,39.45000076,39.49000168,22149300
2/19/2020,41.04999924,41.22999954,40.11500168,40.41999817,23287300
2/20/2020,40.91999817,41.18999863,39.84999847,41,25446400
2/21/2020,40.72000122,40.88999939,40.04999924,40.88999939,20595500
2/24/2020,38.31000137,39.13999939,37.75,38.20999908,37123200
2/25/2020,35.88999939,39.15000153,35.5,38.90000153,49281600
2/26/2020,34.45000076,36.16500092,33.88999939,35.52999878,44051400
2/27/2020,32.45000076,34.15999985,30.67000008,32.02999878,66557200
2/28/2020,33.86999893,34.29000092,31,31.80999947,52049300
3/2/2020,32.84999847,34.08000183,31.73999977,34.04999924,46662000
3/3/2020,33.04000092,34.18000031,31.89999962,34.02000046,35182400
3/4/2020,34.52999878,35.34000015,32.27999878,33.93000031,44738600
3/5/2020,32.20999908,33.56999969,31.96999931,33.47000122,32764500
3/6/2020,31.68000031,32.40999985,30.45000076,31.22999954,34808700
3/9/2020,28.17000008,30.31999969,28.14999962,28.5,37439200
3/10/2020,28.96999931,29.86000061,27,29.46999931,36308300
3/11/2020,26.23999977,28.13999939,25.61000061,27.90999985,43067800
3/12/2020,22.61000061,24.69000053,22.11000061,23.26000023,54042000
3/13/2020,22.60000038,24.80999947,21.12999916,24.01000023,53844400
3/16/2020,20.29000092,21.48999977,19.10000038,20.14999962,56914000
3/17/2020,18.90999985,20.30999947,18.01000023,20.18000031,60003900
3/18/2020,14.81999969,17.79999924,13.71000004,17.76000023,78286200
3/19/2020,20.48999977,21.26000023,15.69999981,15.96000004,83988700
3/20/2020,21.32999992,23.88999939,20.61000061,22.53000069,76529700
3/23/2020,22.39999962,22.72999954,19.72999954,21.06999969,47787100
3/24/2020,26.38999939,26.84000015,23.59000015,24.40999985,58505000
